Datetime,Water Level (m)
2024-10-25 06:00:00,0.22935846
2024-10-25 07:00:00,0.18138202
2024-10-25 08:00:00,0.18052343
2024-10-25 09:00:00,0.25610504
2024-10-25 10:00:00,0.4059441
2024-10-25 11:00:00,0.560445
2024-10-25 12:00:00,0.6590237
2024-10-25 13:00:00,0.68293333
2024-10-25 14:00:00,0.6516185
2024-10-25 15:00:00,0.56210077
2024-10-25 16:00:00,0.4009799
2024-10-25 17:00:00,0.24051338
2024-10-25 18:00:00,0.14154123
2024-10-25 19:00:00,0.10854218
2024-10-25 20:00:00,0.16463032
2024-10-25 21:00:00,0.30376893
2024-10-25 22:00:00,0.5301372
2024-10-25 23:00:00,0.7286694
2024-10-26 00:00:00,0.831934
2024-10-26 01:00:00,0.83547467
2024-10-26 02:00:00,0.76902837
2024-10-26 03:00:00,0.6531933
2024-10-26 04:00:00,0.45899647
2024-10-26 05:00:00,0.23485291
2024-10-26 06:00:00,0.052280948
2024-10-26 07:00:00,-0.07554466
2024-10-26 08:00:00,-0.15379153
2024-10-26 09:00:00,-0.1890753
2024-10-26 10:00:00,-0.13263193
2024-10-26 11:00:00,0.08486453
2024-10-26 12:00:00,0.334976
2024-10-26 13:00:00,0.48747146
2024-10-26 14:00:00,0.5622433
2024-10-26 15:00:00,0.5516248
2024-10-26 16:00:00,0.45260853
2024-10-26 17:00:00,0.27125904
2024-10-26 18:00:00,0.058869276
2024-10-26 19:00:00,-0.10178478
2024-10-26 20:00:00,-0.1955554
2024-10-26 21:00:00,-0.22325626
2024-10-26 22:00:00,-0.1265475
2024-10-26 23:00:00,0.18894741
2024-10-27 00:00:00,0.47947115
2024-10-27 01:00:00,0.6616782
2024-10-27 02:00:00,0.7232678
2024-10-27 03:00:00,0.68748564
2024-10-27 04:00:00,0.5721331
2024-10-27 05:00:00,0.36302537
2024-10-27 06:00:00,0.11063342
2024-10-27 07:00:00,-0.10212833
2024-10-27 08:00:00,-0.25597212
2024-10-27 09:00:00,-0.35250026
2024-10-27 10:00:00,-0.3892437
2024-10-27 11:00:00,-0.26412258
2024-10-27 12:00:00,0.13125116
2024-10-27 13:00:00,0.42852393
2024-10-27 14:00:00,0.6198896
2024-10-27 15:00:00,0.6935106
2024-10-27 16:00:00,0.6527066
2024-10-27 17:00:00,0.50387937
2024-10-27 18:00:00,0.25661895
2024-10-27 19:00:00,0.012447037
2024-10-27 20:00:00,-0.16286469
2024-10-27 21:00:00,-0.2731681
2024-10-27 22:00:00,-0.31891876
2024-10-27 23:00:00,-0.23944698
2024-10-28 00:00:00,0.11228304
2024-10-28 01:00:00,0.46386567
2024-10-28 02:00:00,0.69059
2024-10-28 03:00:00,0.7945797
2024-10-28 04:00:00,0.7534294
2024-10-28 05:00:00,0.5851859
2024-10-28 06:00:00,0.30469108
2024-10-28 07:00:00,0.020699486
2024-10-28 08:00:00,-0.19886161
2024-10-28 09:00:00,-0.34858704
2024-10-28 10:00:00,-0.4326978
2024-10-28 11:00:00,-0.43158096
2024-10-28 12:00:00,-0.16456184
2024-10-28 13:00:00,0.27961853
2024-10-28 14:00:00,0.56537354
2024-10-28 15:00:00,0.75905764
2024-10-28 16:00:00,0.81136155
2024-10-28 17:00:00,0.74373364
2024-10-28 18:00:00,0.54089016
2024-10-28 19:00:00,0.22594136
2024-10-28 20:00:00,-0.043211695
2024-10-28 21:00:00,-0.2366058
2024-10-28 22:00:00,-0.36150992
2024-10-28 23:00:00,-0.42209342
2024-10-29 00:00:00,-0.30422503
2024-10-29 01:00:00,0.18910994
2024-10-29 02:00:00,0.550548
2024-10-29 03:00:00,0.7873972
2024-10-29 04:00:00,0.85103285
2024-10-29 05:00:00,0.74727285
2024-10-29 06:00:00,0.4942872
2024-10-29 07:00:00,0.1632854
2024-10-29 08:00:00,-0.10978493
2024-10-29 09:00:00,-0.30390388
2024-10-29 10:00:00,-0.44247147
2024-10-29 11:00:00,-0.53353035
2024-10-29 12:00:00,-0.5041226
2024-10-29 13:00:00,-0.03588523
2024-10-29 14:00:00,0.42099178
2024-10-29 15:00:00,0.747415
2024-10-29 16:00:00,0.93711764
2024-10-29 17:00:00,0.93736196
2024-10-29 18:00:00,0.7644684
2024-10-29 19:00:00,0.43836775
2024-10-29 20:00:00,0.10275221
2024-10-29 21:00:00,-0.13688558
2024-10-29 22:00:00,-0.3089601
2024-10-29 23:00:00,-0.4184177
2024-10-30 00:00:00,-0.4571846
2024-10-30 01:00:00,-0.18421297
2024-10-30 02:00:00,0.35412621
2024-10-30 03:00:00,0.6851984
2024-10-30 04:00:00,0.9034848
2024-10-30 05:00:00,0.9091014
2024-10-30 06:00:00,0.72544485
2024-10-30 07:00:00,0.3822865
2024-10-30 08:00:00,0.041772343
2024-10-30 09:00:00,-0.21173097
2024-10-30 10:00:00,-0.3915079
2024-10-30 11:00:00,-0.5207574
2024-10-30 12:00:00,-0.5927992
2024-10-30 13:00:00,-0.38742536
2024-10-30 14:00:00,0.22818506
2024-10-30 15:00:00,0.6315404
2024-10-30 16:00:00,0.94813406
2024-10-30 17:00:00,1.0582515
2024-10-30 18:00:00,0.9680881
2024-10-30 19:00:00,0.68296224
2024-10-30 20:00:00,0.29338884
2024-10-30 21:00:00,-0.0075696856
2024-10-30 22:00:00,-0.22553982
2024-10-30 23:00:00,-0.38045937
2024-10-31 00:00:00,-0.48887634
2024-10-31 01:00:00,-0.47298786
2024-10-31 02:00:00,0.028332895
2024-10-31 03:00:00,0.4921112
2024-10-31 04:00:00,0.8140963
2024-10-31 05:00:00,0.958126
2024-10-31 06:00:00,0.86848223
